DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:1	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:2	AS-IS has no namespace (implicit global, Unity script); TO-BE wraps the class in `namespace HeadlessDCGO.Engine.Assets.Scripts.Script;` and adds usings for CardEffectCommons/Headless.Bridge/Headless.Choices/Headless.Runtime/Headless.Services/Headless.State plus a `Commons` alias for CardEffectCommons.CardEffectCommons; C# project organization requires namespacing across a multi-assembly build, AS-IS Unity script has no equivalent need	IRREDUCIBLE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:9	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:14 (class AutoProcessing)	AS-IS is a Unity MonoBehaviour with an implicit public parameterless constructor, instantiated by scene/Inspector wiring, exposed as a plain public field on GManager; TO-BE gives it a private constructor plus `public static AutoProcessing For(EngineContext context)` / `public static AutoProcessing ForCutIn(EngineContext context)` factories that register/retrieve the instance on `EngineContext` (`RegisterService`/`TryGetService`), and a nested `CutInInstanceHolder` wrapper class (TO-BE:49-57) with no AS-IS counterpart, to distinguish the two singleton roles (`autoProcessing` vs `autoProcessing_CutIn` on GManager). No Unity scene/Inspector component instantiation exists in headless; the EngineContext-scoped service registry substitutes for it	SUBSTRATE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:16	ABSENT	`[SerializeField] bool SkipSameEffect;` field dropped entirely; grep -a across DCGO/Assets/Scripts/ shows only the declaration line itself, no reader anywhere in AS-IS (dead field in AS-IS too)	MIRROR
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:14	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:649-650 (multipleSkills)	AS-IS `public List<MultipleSkills> multipleSkills = new List<MultipleSkills>();` is a directly-settable public field; TO-BE makes it a get-only property (`public List<MultipleSkills> multipleSkills => _multipleSkills;`) over a `private readonly` backing field, so external reassignment of the whole list (`autoProcessing.multipleSkills = ...`) is no longer possible	MIRROR
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:20-36	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:652-668 (availableMultipleSkills)	AS-IS returns `null` when every pooled `MultipleSkills` is in use (pool is a fixed Inspector-provisioned list, never grown). TO-BE, on the same exhaustion, constructs a brand-new `MultipleSkills(_context)`, appends it to `_multipleSkills`, and returns it — the getter can never return null in the port, changing the null/non-null contract callers (e.g. TriggeredSkillProcess's `if (availableMultipleSkills != null)`) observe. No Unity scene-instantiated component pool exists to draw from in headless; lazy construction substitutes it	SUBSTRATE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:65	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:698 (PutStackedSkill)	`card.PermanentOfThisCard()` (instance method returning `Permanent`) becomes `ICardEffect.ResolvePermanentOfThisCard(card)` (static resolver). In the port, `CardSource.PermanentOfThisCard()` still exists but now returns a different type, `PermanentView` (CardSource.cs:56), not a nullable `Permanent`; callers that need a real nullable `Permanent` (like PutStackedSkill) must instead call the separate static `ICardEffect.ResolvePermanentOfThisCard` (ICardEffect.cs:462)	SUBSTRATE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:85	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:718 (PutStackedSkill)	`if (card == GManager.instance.attackProcess.SecurityDigimon)` (CardSource reference equality) becomes `if (GManager.instance.attackProcess.SecurityDigimon is { } securityDigimon && card.InstanceId == securityDigimon)` (id equality). AS-IS `AttackProcess.SecurityDigimon` is `public CardSource SecurityDigimon`; port `AttackProcess.SecurityDigimon` is `public HeadlessEntityId? SecurityDigimon` — the field's type itself changed	SUBSTRATE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:121-141	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:1137-1153 (AutoProcessCheck, relocated within file)	AS-IS body opens with `yield return ContinuousController.instance.StartCoroutine(ShrinkSecurityDigimonDisplay());` then brackets the whole pipeline in `GManager.instance.turnStateMachine.IsSelecting = true;` / `= false;`. TO-BE's AutoProcessCheck has the ShrinkSecurityDigimonDisplay call site removed — see the dedicated ABSENT row for that method (AS-IS:730-747) for why	SUBSTRATE
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:128,139	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs:1137-1153 (AutoProcessCheck)	`GManager.instance.turnStateMachine.IsSelecting = true;` / `= false;` bracketing the whole AutoProcessCheck pipeline is entirely absent from TO-BE. `TurnStateMachine.IsSelecting` still exists in the port (TurnStateMachine.cs:50) and is set/cleared elsewhere in the port (e.g. AttackProcess.cs:231/246/365, CardController.cs:3727/4006/4134), so nothing prevents AutoProcessCheck from doing the same; it simply does not	MIRROR
DIFF	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:730-747	ABSENT	The entire `ShrinkSecurityDigimonDisplay()` method (and both its in-file call sites at AS-IS:126 and :574) is absent from the TO-BE tree — grep -rn "ShrinkSecurityDigimonDisplay" src/HeadlessDCGO.Engine/ returns zero hits anywhere, including its 8 other AS-IS call sites in CardController.cs/CardObjectController.cs. AS-IS body reads `GManager.instance.GetComponent<Effects>().ShowUseHandCard.gameObject.activeSelf` and `.ShowUseHandCard.cardSource`; the port's `Effects.ShowUseHandCard` (Effects.cs:118) is a bare `object?` stub with no `.gameObject`/`.cardSource` members, and there is no `GetComponent<Effects>()` call anywhere in the port tree (grep count 0)	SUBSTRATE
