tobe_path,asis_home_file,asis_symbol,asis_line,근거
src/HeadlessDCGO.Engine/Headless/Effects/ActivatedEffectResolver.cs,Script/AutoProcessing.cs;Script/MultipleSkills.cs;Script/ICardEffect.cs;Script/Permanent.cs,AutoProcessing.GetSkillInfos/PutStackedSkill/ActivateEffectProcess · MultipleSkills.ActivateMultipleSkills · ICardEffect.CanTrigger/CanActivate/CanUse · Permanent.CanDeclareSkillList,"AutoProcessing.cs:770(GetSkillInfos)/57(PutStackedSkill)/1063(ActivateEffectProcess); MultipleSkills.cs:21(ActivateMultipleSkills); ICardEffect.cs:319(CanTrigger)/364(CanActivate)/463(CanUse)/341(isOverMaxCountPerTurn); Permanent.cs:1617(CanDeclareSkillList)","substrate 오케스트레이터가 이 AS-IS 심볼들을 직접 호출/미러(파일 주석 인용을 실소스 확인). 수집게이트=GetSkillInfos 필터(is ActivateICardEffect && !IsBackgroundProcess && CanTrigger) AutoProcessing.cs:770; 실행=ActivateEffectProcess :1063; 스택스탬프=PutStackedSkill :57; 선언게이트=Permanent.CanDeclareSkillList :1617; 캡=ICardEffect.isOverMaxCountPerTurn(:341/:368)"
src/HeadlessDCGO.Engine/Headless/Effects/AutoProcessingTriggerCollector.cs,Script/CardEffectCommons/GiveEffect/GiveEffectToPermanentOrPlayer.cs;Script/ICardEffect.cs;Script/AttackProcess.cs,GiveEffectToPermanentOrPlayer.AddEffectToPlayer/AddEffectToPermanent · ICardEffect.IsCounterEffect · AttackProcess.CounterTiming,"GiveEffectToPermanentOrPlayer.cs:57(AddEffectToPlayer)/11(AddEffectToPermanent); ICardEffect.cs:585(IsCounterEffect); AttackProcess.cs:255(CounterTiming)/268/287(OnCounterTiming 2패스)","클래스(구 registry reader)는 은퇴=무대응. 생존 const 키는 substrate 메타데이터 어휘(AS-IS는 typed Hashtable+EffectTiming 직접 전달, 문자열 키 없음). 다만 각 키가 표식하는 기제는 실존: DelayedOneShotKey=AddEffectToPlayer(fire-then-clear) :57; SurviveOwnLeaveKey=AddEffectToPermanent :11; IsCounterEffectKey=ICardEffect.IsCounterEffect :585; CounterPassKey=AttackProcess.CounterTiming 2-pass :268/:287"
src/HeadlessDCGO.Engine/Headless/Effects/CardEffectSchedulerResolver.cs,,,,"무대응: 발명 substrate. 삭제된 EffectRegistry.Find(effectId).Effect 위에 얹힌 큐-이펙트 해석 브릿지로, 생산자 0(항상 Unbound 분기)이라 라이브 이펙트가 이 경로로 해석된 적 없음(파일 주석 명시). AS-IS 대응 해석기는 AutoProcessing/MultipleSkills이지 이 발명 스케줄러가 아님"
src/HeadlessDCGO.Engine/Headless/Effects/DigivolutionCostHelpers.cs,Script/CardSource.cs,CardSource.EvoCosts/BaseEvoCostsFromEntity/PayingCost,"CardSource.cs:534(EvoCosts)/528(BaseEvoCostsFromEntity)/585-600(color@level 매칭)/635(PayingCost)","진화비용 요구조건 매칭·최종비용 계산의 AS-IS 홈. EvoCost{CardColor,Level,MemoryCost} 리스트를 BaseEvoCostsFromEntity(:528)에서 읽어 targetPermanent의 TopCard.CardColors/Level과 매칭(:585-600), 최종비용은 PayingCost 파이프라인(:635). substrate의 EvolutionCondition 토큰 파서는 이 EvoCost 데이터의 substrate 인코딩('Color@Level:Cost')"
src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs,,,,"무대응: substrate 데이터 레코드. AS-IS는 이펙트에 typed 레코드가 아닌 untyped Hashtable 페이로드를 넘김(HashtableSetting.cs 빌더들이 'Card'/'Owner'/'Player'/'Permanents' 키로 채움). 이 레코드는 그 Hashtable의 substrate 번역이며 동일 타입은 AS-IS에 없음"
src/HeadlessDCGO.Engine/Headless/Effects/EffectContextAdapter.cs,Script/CardEffectCommons/GetFromHashtable.cs;Script/CardEffectCommons/HashtableSetting.cs,GetFromHashtable(hashtable 키 읽기),"GetFromHashtable.cs; HashtableSetting.cs","무대응(발명 어댑터): 레거시 별칭 키 정규화기는 substrate. 별칭 소스 키('Card'/'Permanent'/'AttackingPermanent'/'CardEffect'/'Owner'/'Player')는 AS-IS Hashtable 키로, AS-IS는 GetFromHashtable.cs의 헬퍼로 직접 읽음(정규화·검증 어댑터 레이어 없음). EffectContext 조립 자체는 AS-IS 무대응"
src/HeadlessDCGO.Engine/Headless/Effects/EffectDuration.cs,Script/ICardEffect.cs,EffectDuration (enum),ICardEffect.cs:953,"직접 미러: AS-IS enum EffectDuration이 ICardEffect.cs:953에 존재. substrate enum이 지속효과 만료시점 분류를 1:1 미러(UntilEachTurnEnd/UntilEndAttack/UntilEndBattle/UntilCalculateFixedCost 등)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectDurationExpiry.cs,Script/CardController.cs,CardController play-card cleanup — Owner.UntilCalculateFixedCostEffect 리셋,CardController.cs:961,"직접 홈: ExpireFixedCostCalc는 AS-IS CardController.cs:961 `card.Owner.UntilCalculateFixedCostEffect = new List<Func<EffectTiming,ICardEffect>>()`(매 play마다 fixed-cost-calc 버킷 클리어)의 substrate 실행. 동일 리셋이 :3496(link)에도 존재. (구 registry sweep 진입점들은 은퇴=무대응)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectRequest.cs,,,,"무대응: substrate 데이터 레코드(effectId/controller/timing/context). 발명 EffectScheduler 파이프라인 소속. AS-IS엔 대응 요청 타입 없음(AS-IS는 SkillInfo=CardEffect+Hashtable+Timing를 직접 스택)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionMode.cs,,,,"무대응: substrate 플레이스홀더 enum(소스에 'TODO' 리터럴 잔존, 값=Unknown/MainStack/CutIn/Background/RuleProcess). AS-IS엔 이 분류를 담는 단일 enum 없음; 대응 개념은 흩어져 있음(ICardEffect.IsBackgroundProcess, MultipleSkills.IsCutinEffect(MultipleSkills.cs:65), main-stack vs cut-in autoProcessing)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs,,,,"무대응: 발명 PendingEffect 큐 자료구조. AS-IS엔 대응 큐 없음(AS-IS는 MultipleSkills.StackedSkillInfos 리스트로 스택 관리, MultipleSkills.cs:13)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResult.cs,,,,"무대응: 발명 해석결과 상태모델(Resolved/Unbound/Failed/Suspended/Skipped). AS-IS엔 대응 결과 타입 없음. Skipped 상태의 동작(fizzle→dequeue-and-continue)만 AS-IS MultipleSkills.cs:122-126 skip/continue 의미를 미러"
src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs,,,,"무대응: 발명 이펙트 큐 드레인/오케스트레이션. 라이브 이펙트는 이 스케줄러를 타지 않음(CardEffectSchedulerResolver가 항상 Unbound). AS-IS의 실제 드레인은 AutoProcessing.TriggeredSkillProcess/MultipleSkills 루프이지 이 발명 스케줄러가 아님"
src/HeadlessDCGO.Engine/Headless/Effects/EventCollectionMetadata.cs,Script/CardController.cs,"AS-IS Hashtable list 페이로드(예: WinnerPermanents)",CardController.cs:4694(hashtable.Add WinnerPermanents 부근),"무대응(발명 flattening 규약): AS-IS는 Hashtable에 실제 List<Permanent> 객체를 담아 스레딩(예: CardController.cs:4694 hashtable.Add('WinnerPermanents', List))하고 게이트가 GetLoserPermanentsFromHashtable(...).Contains(permanent)로 읽음. substrate는 primitive만 스레딩하므로 id 리스트를 CSV로 flatten하는 발명 규약(파일 주석 명시). AS-IS엔 동일 flatten 헬퍼 없음"
