relpath,verdict,deviations,notes
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangeDP.cs,MATCH-TRANSLATED,,bridge: AS-IS-signature Task overload delegating to verified substrate ChangeDigimonDPPlayerEffect in CardEffectCommons.cs
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/IgnoreDigivolutionRequirement.cs,MATCH-1:1,,"1:1 factory-wiring port, null-checks -> is null, substrate only"
Script/OptionResolutionClass.cs,MATCH-TRANSLATED,,"IEnumerator->Task, StartCoroutine->await; Unity/Photon usings stripped; logic verbatim"
Script/CardEffects/ImmuneFromDPMinusClass.cs,MATCH-1:1,,"byte-identical body, namespace only"
Script/CardEffects/CannotReturnToLibraryClass.cs,MATCH-1:1,,"byte-identical body, namespace only"
Script/CardEffectFactory/KeyWordEffects/Ascension.cs,MATCH-TRANSLATED,,"IEnumerator ActivateCoroutine -> Task ActivateCoroutine (substrate adaptation), logic verbatim"
Script/CardEffects/CannotReturnToHandClass.cs,MATCH-1:1,,"byte-identical body, namespace only"
Script/CardEffectCommons/CanUseEffects/WhenWouldLink.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/OnSuspend.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/OnTrashBySelfDigiBurst.cs,MATCH-TRANSLATED,,"PermanentOfThisCard() -> ICardEffect.ResolvePermanentOfThisCard() established adaptation, logic verbatim"
Script/CardEffectCommons/CanUseEffects/CanSuspend.cs,MATCH-TRANSLATED,,"AS-IS CanActivateSuspendCostEffect(CardSource,bool) omitted (CS0111 dup vs CardEffectCommons.cs substrate reimpl, documented+body quoted); CanActivatePermanentSuspendCostEffect ported verbatim"
Script/CardEffects/ActivateClass.cs,MATCH-TRANSLATED,,"IEnumerator->Task, StartCoroutine->await; BOM stripped; logic verbatim (core kind-class)"
Script/CardEffectCommons/CanUseEffects/OnTrashHand.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CannotAddSecurityClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CannotAddMemoryClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/OnReturnLibraryBottomDigivolutionCards.cs,MATCH-TRANSLATED,,"PermanentOfThisCard() -> ICardEffect.ResolvePermanentOfThisCard() established adaptation, logic verbatim"
Script/CardEffectCommons/CanUseEffects/OptionEffect.cs,MATCH-TRANSLATED,,"CanDeclareOptionDelayEffect(CardSource) omitted (CS0111 dup vs CardEffectCommons.cs substrate reimpl, documented+body quoted); CanTriggerOptionMainEffect ported verbatim"
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangePlayCost.cs,MATCH-TRANSLATED,,bridge: AS-IS-signature Task overload delegating to verified substrate ChangePlayCostPlayerEffect in CardEffectCommons.cs
Script/CardEffects/CanSelectAssemblyClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanSelectDigiXrosClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/OnCardsReturnToHandFromTrash.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/OnCardsReturnToLibraryFromTrash.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/DeleteSelf.cs,MATCH-TRANSLATED,,bridge: DeleteTiming enum re-declared 1:1; Task overload delegates to substrate AddSelfDeleteEffect(string timing) via own/opponent/each mapping
Script/CardEffects/AddSkillClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanAttackTargetDefendingPermanentClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotBeDestroyedBySkillClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/WhenUseDigiBurst.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotTrashFromDigivolutionCardsClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/DigiXrosEffects.cs,MATCH-1:1,,"byte-identical body, rehoused from monolith"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeDP.cs,MATCH-TRANSLATED,,bridge: AS-IS-signature Task overload delegating to verified substrate ChangeDigimonDP in CardEffectCommons.cs
Script/CardEffectCommons/MinMax_DP_Cost_Level/Cost/IsMinCost.cs,MATCH-TRANSLATED,,"Player owner -> HeadlessPlayerId owner; GetBattleAreaDigimons/Permanents -> IZoneStateReader.GetCards scan; condition gates subject only per AS-IS, verbatim logic"
Script/CardEffects/AddDetailClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/BlockerClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/IcecladClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/RebootClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/RushClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/ScapegoatClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeOriginDP.cs,MATCH-TRANSLATED,,bridge: AS-IS-signature Task overload delegating to verified substrate ChangeBaseDigimonDP in CardEffectCommons.cs
Script/CardEffects/CanNotEvolveClass.cs,MATCH-1:1,,byte-identical body (class name CanNotDigivolveClass preserved)
Script/CardEffectCommons/CanUseEffects/OnMove.cs,MATCH-1:1,,byte-identical body
Script/CardEffectCommons/CanUseEffects/WhenDiscardLibrary.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/ImmuneFromDeDigivolveClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotSuspendClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CannotIgnoreDigivolutionConditionClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/AddJogressLevelsClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotBeDestroyedClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotBeRemovedClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CanNotUnsuspendClass.cs,MATCH-1:1,,byte-identical body
Script/CardEffects/CannotBlockClass.cs,MATCH-1:1,,byte-identical body
