tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardObjectController.cs,non,7,"TO-BE ports only a subset of the AS-IS static helpers (RemoveFromAllArea/CreateNewPermanent/RemoveField/AddTrashCard/AddExecutingCard/AddSecurityCard/AddHandCards/AddHandCard). Entirely missing from TO-BE: CreatePlayerDecks (AS-IS :16-343), AlignHand (:451-476), AddTrashCards plural (:739-778), AddLibraryTopCards (:781-860), AddLibraryBottomCards (:863-953), Shuffle (:1011-1019), MovePermanent (:1022-1132). Also CreateNewPermanent's signature/logic is substantially redesigned (takes CardSource+isSuspended+isBreedingArea vs AS-IS Permanent+frameID) and its own header comment documents a GAP-drop of the OnEnterFieldAnyone supply-open step."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/DataBase.cs,non,20,"TO-BE is an explicitly 'minimal mirror, grown member-by-member' — only ReplaceToASCII/IsXAntibodyString/keyword-EffectDiscription helpers/CardColorNameDictionary ported. Missing from AS-IS entirely: CardKindJPNameDictionary, CardKindENNameDictionary, CardColor_ColorLightDictionary, CardColor_ColorDarkDictionary, CardColorInitialDictionary, CardListIDs(), ColorIcons_circle/bar, SelectColor_*/CommandColor_* constants, IsContainingXAntibodyString, DigiburstRegex/FirstPlayerKey/FirstPlayerIndexIdKey, cardKinds/cardColors/SetIDs arrays, ENGBanList/JPNBanList, ColorSpriteDic/TableBase/KeyAndValue/SamplePair, ParmanentParameterComparer/ParameterComparer, DictionaryUtility.GetCardKind/GetEvoStage."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectCardPanel.cs,non,1,"TO-BE is an intentionally bodiless stub (comment: 'left intentionally bodiless', reclassified as pure Unity UI panel, out of scope). All AS-IS logic (OpenSelectCardPanel, OnClickHandCard, CheckSelection, CanEndSelection, etc.) is absent."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectJogressEffect.cs,non,1,"TO-BE is an intentionally bodiless stub (comment: 'left intentionally bodiless', reclassified as UI-flow orchestrator). All AS-IS logic (SelectWheterToJogress, SelectDigivolutionRoots) is absent."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/GameContext.cs,non,6,"Missing from TO-BE: SetPlayerID, PlayerFromID(int), SwitchTurnPlayer/DoSwitchTurnPlayer, FirstPlayer field, and the constructor GameContext(You,Opponent). IsSecurityLooking (AS-IS :184) is explicitly NOT ported — the file's own header documents it as a live design item (MIG6-SECURITYLOOKING) with no substrate source, deliberately unstubbed."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/StreamingAssetsUtility.cs,non,1,"TO-BE is a skeleton stub ('TODO: Skeleton only. Port or implement deterministic .NET logic later.'). All AS-IS logic (ReadFile, GetSprite, GetCardImageData, GetStreamingAssetPath, etc.) is absent."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/MaterialSave.cs,1to1,0,대조 심볼 2개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeOriginDP.cs,1to1,0,대조 심볼 2개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotSuspend.cs,1to1,0,대조 심볼 1개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeBlocked.cs,1to1,0,대조 심볼 1개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/MaterialSave.cs,1to1,0,대조 심볼 1개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Decoy.cs,1to1,0,대조 심볼 2개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnTrashLinkCard.cs,1to1,0,대조 심볼 2개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/ShowPhaseObject.cs,non,1,"TO-BE is a skeleton stub ('TODO: Skeleton only.'). All AS-IS logic (Start/Update/ShowPhase, PhaseIcon.SetUpPhaseIcon) is absent."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Training.cs,1to1,0,대조 심볼 1개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenUseOption.cs,1to1,0,대조 심볼 2개 전부 일치(substrate 번역만)
