tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectHandEffect.cs,non,2,"AS-IS Discard builds IDiscardHand(cardSource, hashtable) carrying {""CardEffect"":_cardEffect} per-card (:709/:729); TO-BE drops the hashtable entirely and instead threads causeId/_cardEffect only at the IDiscardHands(list, causeId, _cardEffect) call level (:213/:228/:284) — cannot confirm equivalence without the IDiscardHand ctor, a different data-flow shape. Also RunAsIsSelectionAsync's ChoiceRequest minCount=(_canNoSelect||_canEndNotMax)?0:maxCount collapses AS-IS's separate ""No Selection"" button path (only reachable at PreSelectedHandCards.Count==0, CanEndSelect :578 requires count==maxCount unless canEndNotMax) into one min/max range, permitting selections between 0 and maxCount that AS-IS's CanEndSelect would reject when canNoSelect=true and canEndNotMax=false."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectInterfaces.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnDeletion.cs,non,2,"IsByBattle (AS-IS :82-85 = GetBattleFromHashtable(hashtable)!=null only) gains an added OR fallback ReadCauseMarker(hashtable, ByBattleCauseKey) not present in AS-IS (TO-BE :106). IsByEffect (AS-IS :89-105 = live CardEffect check only) gains an added transport-path fallback ReadCauseMarker(hashtable, ByEffectCauseKey) when CardEffect is null (TO-BE :128-132) — both are explicitly flagged in the file's own header as an ADAPTATION beyond substrate (new marker-key infra not in AS-IS)."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/UserSelectionManager.cs,non,1,"AS-IS opponent/AI branch (SetIntSelection/SetBoolSelection :127-140/:181-194) does a specific UnityEngine.Random.Range uniform pick among the valid selectionElements values; TO-BE's own header states RD-W5-2 ""the AS-IS UnityEngine.Random pick is not reproduced"" — the AI decision is delegated wholesale to the generic ChoiceProvider policy instead of the AS-IS uniform-random-among-valid-values algorithm, a behavior change beyond transport substrate."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Scapegoat.cs,non,2,"ScapegoatEffect SetHashString uses AS-IS card.CardID (:42) vs TO-BE card.CardNumber (:51) — different source property, not a substrate rename. CanUseCondition's local CardEffectCondition calls AS-IS CardEffectCommons.IsOwnerEffect(cardEffect, card) (:66) vs TO-BE CardEffectCommons.IsOwnerEffect(cardEffect.EffectSourceCard, card) (:75) — a different argument (the effect object itself vs its EffectSourceCard) passed into the predicate."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/TrashDigivolutionCards.cs,non,1,"TO-BE is a bridge/delegate: the AS-IS-signature overload only adapts parameters and calls a DIFFERENT overload of SelectTrashDigivolutionCards defined elsewhere (CardEffectCommons.cs:2126, outside this file pair) — the actual selection/trash logic (AS-IS :11-192) is not present in this file, so 1:1 cannot be confirmed from this file pair alone."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Decode.cs,non,1,"DecodeProcess's final PlayPermanentCards call: AS-IS passes activateClass: activateClass (the live ICardEffect, TrashDigivolutionCards.cs/CardEffectCommons.cs:23 signature `ICardEffect activateClass`) but TO-BE calls a DIFFERENT overload with sourceCard: cardSource (confirmed two distinct PlayPermanentCards overloads exist in the mirror CardEffectCommons.cs at :1795 and :4935) — the cause/activateClass object threaded into the play is swapped for the raw CardSource, not a substrate rename."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CustomMessage.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotUnsuspend.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; UI CreateDebuffEffect 시각효과만 삭제)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotBlock.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; UI CreateDebuffEffect 시각효과만 삭제)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByEffect.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; UI CreateBuffEffect 시각효과만 삭제)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Iceclad.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnTrashLinkedCard.cs,1to1,0,"대조 심볼 N개 전부 일치(순수 로직 파일, 변환 불필요)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotBeDeletedByBattle.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotSuspend.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddJogressConditionClass.cs,1to1,0,대조 심볼 N개 전부 일치(순수 이관)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ActivateClass.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만: IEnumerator->Task/StartCoroutine->await)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotTrashFromDigivolutionCardsClass.cs,1to1,0,대조 심볼 N개 전부 일치(순수 이관)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/RushClass.cs,1to1,0,대조 심볼 N개 전부 일치(순수 이관)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangePermanentLevelClass.cs,1to1,0,대조 심볼 N개 전부 일치(순수 이관)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnFaceUpSecurityIncrease.cs,1to1,0,"대조 심볼 N개 전부 일치(순수 로직 파일, 변환 불필요)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/GSSReader.cs,non,1,"TO-BE is a 7-line skeleton stub (""TODO: Skeleton only. Port or implement deterministic .NET logic later.""); AS-IS has full CSV-fetch/parse logic (GetFromWeb/ConvertCSVtoJaggedArray) — entirely unported."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/Networking/GamePacketFactory.cs,non,1,"TO-BE is a 7-line skeleton stub (""TODO: Skeleton only.""); AS-IS has full Register/Create/GetId packet-factory logic — entirely unported."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/PassAction.cs,1to1,0,"대조 심볼 N개 전부 일치(substrate 번역만: Photon byte[] 생성자/Deserialize/Serialize 스트립, PassTurn 호출부 sync->await Task)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection/CardSelection.cs,non,1,"TO-BE is a 7-line skeleton stub (""TODO: Skeleton only.""); AS-IS has the IPlayerSelection CardIDList holder class — entirely unported."
