asis_path,비고1
DCGO/Assets/Scripts/Script/GraphicsOptionPanel.cs,"OffAnimation 상속 MonoBehaviour UI 패널—배경파티클 토글 on/off를 Animator로 여닫는 옵션창 표시일 뿐 게임규칙 로직 없음(헤드리스 스코프밖)"
DCGO/Assets/Scripts/Script/HandContoller.cs,"MonoBehaviour에 isDragging bool 하나만 든 드래그 상태 플래그—순수 UI 입력 표시용이라 헤드리스 미포팅"
DCGO/Assets/Scripts/Script/Helper Scripts/AdjustUIColor.cs,"Image 컴포넌트 스프라이트 없으면 회색 칠하는 Unity 표시 헬퍼—게임규칙 무관"
DCGO/Assets/Scripts/Script/Helper Scripts/DisableForBanlist.cs,"밴리스트 사용여부(ContinuousController.useBanlist)에 따라 Button.interactable 토글하는 UI 표시 헬퍼—룰 상태를 읽어 버튼만 켜고 끔"
DCGO/Assets/Scripts/Script/HideCannotSelectObject.cs,"FieldPermanentCard 위치·IsSuspended를 읽어 마스크 Image를 배치/회전시키는 오버레이 연출—규칙 계산 없이 이미 계산된 상태를 그려주기만 함"
DCGO/Assets/Scripts/Script/HomeMode.cs,"Photon 연결·홈 화면 패널 on/off·BGM을 다루는 로비 UI 씬 매니저—게임규칙 로직 없음"
DCGO/Assets/Scripts/Script/Hypertext/ObjectPool.cs,"uGUI-Hypertext(MIT) 제네릭 오브젝트 풀—링크 텍스트 렌더 최적화용 UI 유틸리티라 헤드리스 무관"
DCGO/Assets/Scripts/Script/Hypertext/TextLink.cs,"TMP_Text 링크 클릭 감지해 PlayLog.OnLinkPressed 발화하는 IPointerClickHandler—순수 UI 입력 처리"
DCGO/Assets/Scripts/Script/LanguagePanel.cs,"언어 토글 목록을 Animator로 여닫으며 ContinuousController.language 저장하는 옵션 UI 패널—표시/설정 저장만"
DCGO/Assets/Scripts/Script/LanguageToggle.cs,"Language 값을 든 Toggle 래퍼 MonoBehaviour—언어 선택 UI 요소"
DCGO/Assets/Scripts/Script/LoadingObject.cs,"로딩 애니메이션(아구몬 이동·점 텍스트·DOTween) 표시 코루틴 뭉치—순수 연출이라 미포팅"
DCGO/Assets/Scripts/Script/LobbyManager_FriendMatch.cs,"Photon 친구매칭 방 생성/입장/목록 갱신을 다루는 네트워킹 로비 UI 매니저—대전 규칙 아닌 매치메이킹"
DCGO/Assets/Scripts/Script/LobbyManager_RandomMatch.cs,"Photon 랜덤매칭 방 검색/생성/씬전환을 다루는 네트워킹 로비 UI 매니저—매치메이킹 로직이라 헤드리스 스코프밖"
DCGO/Assets/Scripts/Script/LocalizeTMPro.cs,"language에 따라 TMP/Text의 폰트·문구·크기를 바꾸는 현지화 표시 컴포넌트—게임규칙 무관"
DCGO/Assets/Scripts/Script/LocalizeUtility.cs,"ENG/JPN 문자열 택일 반환하는 현지화 헬퍼—UI 문구용이라 미포팅"
DCGO/Assets/Scripts/Script/MemoryObject.cs,"메모리 게이지 탭 점등·현재값 오브젝트를 DOTween으로 이동시키는 UI 연출—메모리 규칙 자체는 이미 엔진(State/PlayerZoneAdapter.cs·PlayCardAction.cs)에 포팅됨"
DCGO/Assets/Scripts/Script/MemoryPredictionLine.cs,"LineRenderer로 메모리 예측 포물선을 그리는 시각화—값 클램프도 그리기용일 뿐 규칙 계산 아님"
