relpath,verdict,mirror_anchor,evidence,note
DCGO/Assets/Scripts/Script/HandContoller.cs,UI-OUT-OF-SCOPE,,"MonoBehaviour with a single public bool isDragging drag-state flag; no methods, no rule logic","name suggests hand manipulation but body is only a UI drag flag"
DCGO/Assets/Scripts/Script/Helper Scripts/AdjustUIColor.cs,UI-OUT-OF-SCOPE,,"Sets Image.color=gray when sprite is null; pure UI presentation",""
DCGO/Assets/Scripts/Script/Helper Scripts/DisableForBanlist.cs,UI-OUT-OF-SCOPE,,"OnEnable sets Button.interactable = ContinuousController.useBanlist; only reads a config flag to toggle a UI button, does not enforce any banlist deck rule","banlist rule enforcement (deck validation) lives elsewhere; this only greys out a button"
DCGO/Assets/Scripts/Script/HideCannotSelectObject.cs,UI-OUT-OF-SCOPE,,"Positions/rotates mask Image overlays over field cards; reads Permanent.IsSuspended and ContinuousController.turnSuspendedCards purely to set localRotation for display","IsSuspended is engine state; this file only visualizes it"
DCGO/Assets/Scripts/Script/HomeMode.cs,UI-OUT-OF-SCOPE,,"Home screen show/hide, BGM, deck-panel toggles, Photon disconnect coroutine; no rule logic",""
DCGO/Assets/Scripts/Script/Hypertext/ObjectPool.cs,UI-OUT-OF-SCOPE,,"Generic Stack-based object pool (uGUI-Hypertext MIT lib) for UI text link objects","third-party UI utility"
DCGO/Assets/Scripts/Script/Hypertext/TextLink.cs,UI-OUT-OF-SCOPE,,"IPointerClickHandler on TMP_Text; on click resolves link index and fires PlayLog.OnLinkPressed; pure UI input",""
DCGO/Assets/Scripts/Script/LanguagePanel.cs,UI-OUT-OF-SCOPE,,"Language selection panel; open/close animation and writes ContinuousController.language via toggles","localization UI/settings"
DCGO/Assets/Scripts/Script/LanguageToggle.cs,UI-OUT-OF-SCOPE,,"Toggle wrapper exposing a Language value and OnClick action; UI input only",""
DCGO/Assets/Scripts/Script/LoadingObject.cs,UI-OUT-OF-SCOPE,,"Loading spinner: animated dots text and Agumon/Meat DOTween movement; pure presentation coroutines",""
DCGO/Assets/Scripts/Script/LobbyManager_FriendMatch.cs,UI-OUT-OF-SCOPE,,"Photon friend-match lobby: room list UI, create/join room, stores deck-code string + player name + win count into Photon custom properties for network transport","deck data is a serialized deck code moved over network, not rule logic; matchmaking/networking"
DCGO/Assets/Scripts/Script/LobbyManager_RandomMatch.cs,UI-OUT-OF-SCOPE,,"Photon random-match lobby: connect/create/join room, match timer text, sets ContinuousController.isAI/isRandomMatch session flags, RPC GoToBattleScene scene load","session config flags + matchmaking/networking; no game rules"
DCGO/Assets/Scripts/Script/LocalizeTMPro.cs,UI-OUT-OF-SCOPE,,"Swaps TMP/Text font and text per ContinuousController.language on enable/interval; UI localization",""
DCGO/Assets/Scripts/Script/LocalizeUtility.cs,UI-OUT-OF-SCOPE,,"GetLocalizedString returns ENG/JPN string by language; localization helper",""
DCGO/Assets/Scripts/Script/MemoryObject.cs,UI-OUT-OF-SCOPE,,"Memory-gauge UI: reads gameContext.Memory to slide CurrentMemoryObject via DOTween and light up tabs; ShowMemoryPredictionLine clamps display index to +/-10 for the line only","gameContext.Memory is engine/mirror state; this file only animates the gauge display, no memory mutation"
DCGO/Assets/Scripts/Script/MemoryPredictionLine.cs,UI-OUT-OF-SCOPE,,"LineRenderer parabola between two MemoryTab positions; pure geometry/rendering for the prediction arc","no rule logic; visual prediction line only"
DCGO/Assets/Scripts/Script/Networking/PhotonTester.cs,UI-OUT-OF-SCOPE,,"Debug Photon region connect tester keyed on KeyCode.A; networking debug util",""
DCGO/Assets/Scripts/Script/OffAnimation.cs,UI-OUT-OF-SCOPE,,"Base MonoBehaviour with virtual Off()/OffAnimEnable() = SetActive(false); UI base class",""
DCGO/Assets/Scripts/Script/OpenURL.cs,UI-OUT-OF-SCOPE,,"Application.OpenURL for a URL / tweet-intent with hashtags; external link opener",""
DCGO/Assets/Scripts/Script/Opening.cs,UI-OUT-OF-SCOPE,,"Title/opening orchestration: loading, background sprite, deck-editor hover raycast, mode buttons, SE playback, card-image preload; no rule logic","deck references are UI navigation into deck editor"
DCGO/Assets/Scripts/Script/OpeningButton.cs,UI-OUT-OF-SCOPE,,"Title button select/exit: toggles selected object and plays SE",""
DCGO/Assets/Scripts/Script/OptionPanel.cs,UI-OUT-OF-SCOPE,,"Option panel open/close animation delegating to volume/resize/gameplay/graphics/region/language sub-panels; Application.Quit; UI settings",""
DCGO/Assets/Scripts/Script/OptionUtility.cs,UI-OUT-OF-SCOPE,,"Toggle init/change helper wiring UnityAction and playing decision SE; UI settings helper",""
DCGO/Assets/Scripts/Script/PatchBackground.cs,UI-OUT-OF-SCOPE,,"Async loads Background_home sprite from StreamingAssets into an Image; presentation",""
DCGO/Assets/Scripts/Script/PatchNotes.cs,UI-OUT-OF-SCOPE,,"Patch-notes panel open/close, version text, external URL buttons (report bug / patch notes); UI",""
DCGO/Assets/Scripts/Script/PlayLog.cs,UI-OUT-OF-SCOPE,,"Battle log UI: appends log strings (fed by static OnAddLog event), trims to max length, hyperlinks card IDs, and ShowCard opens card detail via gameContext.ActiveCardList lookup","consumes engine-emitted log strings and reads ActiveCardList only to open a detail popup; display only, no rule logic"
DCGO/Assets/Scripts/Script/PlayerInfo.cs,UI-OUT-OF-SCOPE,,"Player name input + win-count text; SavePlayerName trims to max length and delegates to ContinuousController.SavePlayerName","profile settings UI; length clamp is input sanitation"
DCGO/Assets/Scripts/Script/PlayerPrefsUtil.cs,UI-OUT-OF-SCOPE,,"Static PlayerPrefs helpers: GetBool/SetBool, JSON GetObject/SetObject, BinaryFormatter SaveList/LoadList; client-side local persistence","client storage substrate, not needed by headless rule engine"
DCGO/Assets/Scripts/Script/PointerShine.cs,UI-OUT-OF-SCOPE,,"Pointer enter/exit swaps Image color; UI hover effect",""
DCGO/Assets/Scripts/Script/ProfanityFilter/AllowList.cs,UI-OUT-OF-SCOPE,,"ProfanityFilter allow-list (MIT lib): case-insensitive Add/Contains/Remove/Clear over a string list for name moderation","name moderation, not game rules"
