tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectCardEffect.cs,non,4,"IsSecurityLooking flag (AS-IS :380/:1008) never set in TO-BE Activate (file's own comment RD-W4-4 confirms no mirror surface); AS-IS DeckData.SortedCardsList + matching-first reorder of Library/Trash pool (AS-IS :444-478) dropped, changing which pool order RootCardList/_slectedInexesInList indices reference (RD-W4-7, functional not presentational); skillInfos 'Effect Processing/Waiting' decoration block (AS-IS :480-544) entirely dropped; BuildAsIsMessage priority order (message param first) differs from AS-IS priority (_customMessage first, mode-default last, AS-IS :398-427)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/MultipleSkills.cs,non,1,"AS-IS :270/:304 AutomaticOrder.GetSkillIndexAutomaticOrder + ContinuousController.autoEffectOrder auto-pick shortcut (bypasses interactive order choice when the client setting is enabled) is entirely dropped; TO-BE always routes the order pick through the choice port (comment at file top explicitly notes 'has no mirror -> the order pick always routes to the port') - a real branch removed, not a substrate translation"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeSAttack.cs,non,1,"AS-IS line 228 InvertSAttackStaticEffect: SetHashString($""InvertSecA_{card.CardID}"") vs TO-BE line 238: SetHashString($""InvertSecA_{card.CardNumber}"") - different source field (CardID vs CardNumber) used to build the hash string, a value/calculation difference not a substrate translation"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectCountEffect.cs,non,1,"AS-IS :118-123 autoMaxCardCount/autoMinDigivolutionCost preference shortcut (auto-resolves to min/max WITHOUT asking when the client setting + _preferMin/_isDigivolutionCost align) is dropped; TO-BE always issues one ChoiceProvider request regardless of these settings (comment: 'the provider IS that decider') - a real branch collapse, not verifiably equivalent from this file alone"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Partition.cs,1to1,0,"대조 심볼 4개(CanTriggerPartition/CanActivatePartition/PartitionProcess/PartitionClass.Partition) 전부 일치(substrate 번역만: IEnumerator->Task, StartCoroutine/yield->await, CreateDebuffEffect/PlayLog UI 스트립 - 코드베이스 전역 확립 관례, IsOwnerEffect(ICardEffect,card)->IsOwnerEffect(CardSource,card) 위임은 TO-BE IsOwnerEffect 구현이 effectSourceCard.Owner==card.Owner로 AS-IS와 동일함을 CardEffectCommons.cs:3800 대조로 확인)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Alliance.cs,1to1,0,"대조 심볼 3개(AllianceSelfEffect/AllianceEffect/AllianceStaticEffect) 전부 일치(substrate 번역만: PermanentOfThisCard->ResolvePermanentOfThisCard, IEnumerator->Task)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/AddAppfusionMethod.cs,1to1,0,"대조 심볼 2개(AddAppfuseMethodByName/AddAppfuseMethodByCondition) 전부 일치(substrate 번역만: Unity MonoBehaviour implicit-bool truthy check .Find(...)를 명시적 != null로 변환, 문서화된 의도적 어댑테이션)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenWinBattle.cs,1to1,0,대조 심볼 1개(CanTriggerWhenWinBattle) 바이트 단위 동일(네임스페이스 래핑만 차이)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fragment.cs,non,1,"AS-IS line 38: SetHashString($""Fragment_{card.CardID}""...) vs TO-BE line 48: SetHashString($""Fragment_{card.CardNumber}""...) - same CardID->CardNumber value substitution pattern as ChangeSAttack.cs, not substrate"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fortitude.cs,non,1,"AS-IS line 42: SetHashString($""Fortitude_{card.CardID}""...) vs TO-BE line 52: SetHashString($""Fortitude_{card.CardNumber}""...) - same CardID->CardNumber value substitution pattern, not substrate"
