tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Bridge/ActivatedHashtableBridge.cs,other,미러 GameEvent를 이펙트 타이밍별 AS-IS Hashtable 페이로드로 재구성하며 어떤 필드(공격자/수비자/보안 앞면상태/링크카드/원인이펙트 등)가 어느 게임 타이밍에 실리는지를 substrate가 직접 결정·구성함; 이 트리거 페이로드 구성 규칙은 미러 CardEffectCommons/HashtableSetting.cs 영역이 보유해야 할 규칙임
src/HeadlessDCGO.Engine/Headless/Bridge/AmbientMatchContext.cs,Unity대체,Unity 전역 싱글톤 GManager.instance를 AsyncLocal 기반 매치-스코프 컨텍스트 홀더로 대체; 순수 저장/조회만 수행
src/HeadlessDCGO.Engine/Headless/Bridge/BareCauseEffect.cs,Unity대체,AS-IS가 실제 ICardEffect 객체 참조로 스레딩하던 원인 이펙트를 소스카드 참조만 담는 최소 홀더 객체로 대체; id를 CardSource로 해석하는 변환만 하고 판정 로직 없음
src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs,RL api,랜덤시드/결정론적선택/AI시뮬레이션 플래그 등 RL 학습·재현을 위한 headless 매치 설정 컨테이너(원본 게임에 없는 개념); 메모리 범위 등은 입력값 유효성 검증일 뿐 게임 규칙 계산이 아님
src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs,Unity대체,Unity GManager.instance가 보유하던 턴/공격/메모리 등 전 컨트롤러 참조와 서비스 레지스트리·매치 상태를 담는 홀더; 배치id 카운터들은 단조증가 발급만 하고 그룹핑 판정은 다른 곳에서 수행
src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs,Unity대체,EngineContext를 감싸는 GManager.instance 대체 파사드로 프로퍼티 위임만 수행
src/HeadlessDCGO.Engine/Headless/Bridge/PayCostRoot.cs,Unity대체,현재 비용지불 중인 액션 종류(Play/Digivolve/Option)를 나타내는 상태 플래그 enum; 계산·판정 없음
src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs,Unity대체,포팅 과정에서 Unity 전용 API 접근(렌더링/씬수명주기/애니메이션/오디오/카메라/네트워크클라이언트/전역싱글톤 등)을 제외·대체·거부로 분류하는 포팅 메타 정책
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs,Photon대체,선택 입력(플레이어 UI) 후보 항목을 표현하는 데이터 배관 레코드
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCompletability.cs,Photon대체,강제 선택 요청이 완성 가능한 조합이 존재하는지 사전 판단하는 결정론적 조합탐색; 선택 입력 배관의 교착 방지 로직(AS-IS AI측 랜덤 재시도 탐색을 결정론 이식)이며 검증자 자체(구체 카드 규칙)는 호출측이 주입
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceOption.cs,Photon대체,선택지 표시용 데이터 배관 레코드
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs,Photon대체,플레이어 선택 입력 요청 스펙(최소/최대개수·후보·검증자 훅)을 표현하는 입력 배관 레코드
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs,Photon대체,플레이어 선택 입력 결과 및 그 결과가 요청 스펙의 개수·중복·선택가능성 범위를 만족하는지 검사하는 입력 배관 검증
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceType.cs,Photon대체,선택 입력 종류를 나열하는 열거형
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceZone.cs,Photon대체,선택 후보가 속한 구역을 나열하는 열거형(입력 배관 메타데이터)
