tobe_path,비고1
src/HeadlessDCGO.Engine/Headless/Diagnostics/ITraceSink.cs,"AS-IS 무대응 순수 실행인프라: 매치 이벤트 로거(MatchEventLog)가 소비하는 트레이스 싱크 인터페이스; RL 리플레이/로깅 배관"
src/HeadlessDCGO.Engine/Headless/Diagnostics/MatchEventLog.cs,"AS-IS 무대응 순수 실행인프라: 존무버/DcgoMatch 이벤트를 JSONL로 드레인하는 RL 리플레이 로거(L4 설계 docs/audit/rl_l4_match_log_design.md); Unity AS-IS엔 대응 로깅 시스템 없음"
src/HeadlessDCGO.Engine/Headless/Diagnostics/MatchLogLevel.cs,"AS-IS 무대응 순수 실행인프라: MatchEventLog 로그 레벨(Off/Result/Replay/Analysis/Trace) 열거형"
src/HeadlessDCGO.Engine/Headless/Diagnostics/NullTraceSink.cs,"AS-IS 무대응 순수 실행인프라: ITraceSink no-op 구현(트레이스 비활성 시 기본값)"
src/HeadlessDCGO.Engine/Headless/Diagnostics/TraceEvent.cs,"AS-IS 무대응 순수 실행인프라: 트레이스 이벤트 레코드 + 결정적 지문(fingerprint) 직렬화"
src/HeadlessDCGO.Engine/Headless/Diagnostics/TraceOptions.cs,"AS-IS 무대응 순수 실행인프라: 트레이스 on/off·최대 이벤트수 옵션 레코드"
src/HeadlessDCGO.Engine/Headless/Effects/ActivatedEffectResolver.cs,"AS-IS 헤드리스 번역: AutoProcessing.cs(GetSkillInfos·PutStackedSkill·ActivateEffectProcess)·MultipleSkills.cs(CanActivate 재검사)·ICardEffect.cs(CanTrigger·CanActivate·once-per-turn cap)의 활성화 효과 발동 파이프라인"
src/HeadlessDCGO.Engine/Headless/Effects/AutoProcessingTriggerCollector.cs,"과거 발명 레지스트리 트리거리더(EffectRegistry 질의)는 생산자 0으로 전삭됨; 잔존 static const는 AS-IS 개념(AddSkillClass 트리거그랜트·AddEffectToPlayer 지연발동·ICardEffect.IsCounterEffect·AttackProcess CounterTiming)을 가리키는 이벤트-메타데이터 키 이름표(순수 실행인프라)"
src/HeadlessDCGO.Engine/Headless/Effects/CardEffectSchedulerResolver.cs,"AS-IS 무대응: 폐기된 발명 EffectRegistry.Find 조회부(생산자 0, 항상 Unbound 반환)의 잔존 스텁; 실사용 효과 해결은 이 스케줄러-리졸브 경로를 타지 않음(순수 실행인프라 플레이스홀더)"
src/HeadlessDCGO.Engine/Headless/Effects/DigivolutionCostHelpers.cs,"AS-IS 게임로직 재하우징: CardSource.cs:2511 PrintedEvoCosts가 위임하는 EvolutionCondition 토큰 파서(BaseEvoCostsFromEntity)와 CardController.cs:472-504 CostList 최소비용/IgnoreRequirement 선택 로직을 Headless/Effects로 이전"
src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs,"AS-IS 무대응 순수 실행인프라: AS-IS의 동적 Hashtable 효과 페이로드(Card/Owner/Player/Permanents 등)를 대체하는 타입-세이프 소스/오너/타깃 id 컨테이너(EffectContextAdapterKeys.LegacyAliases가 해당 Hashtable 키를 명시)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectContextAdapter.cs,"사문화 코드: 레거시 Hashtable 별칭→EffectContext 변환 어댑터이나 전체 소스 트리에 호출부 0(TryCreate/CreateOrThrow/ExportValues 전부 미사용)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectDuration.cs,"AS-IS 1:1 미러: ICardEffect.cs:953 enum EffectDuration(UntilEachTurnEnd 등 8종)의 헤드리스 번역"
src/HeadlessDCGO.Engine/Headless/Effects/EffectDurationExpiry.cs,"AS-IS 헤드리스 번역: CardController.cs:961의 Player.UntilCalculateFixedCostEffect 버킷 리셋(고정비용계산 종료 시점) 1건만 생존; 나머지 레지스트리 스윕 4종은 상시-빈 저장소 대상 사문 코드로 은퇴"
src/HeadlessDCGO.Engine/Headless/Effects/EffectRequest.cs,"AS-IS 무대응 순수 실행인프라: 효과id·컨트롤러·타이밍·컨텍스트를 묶는 스케줄러 큐잉 DTO"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionMode.cs,"AS-IS 무대응 순수 실행인프라: 미확정 플레이스홀더 열거형(TODO 주석; MainStack/CutIn/Background/RuleProcess)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs,"AS-IS 무대응 순수 실행인프라: PendingEffect FIFO 큐(EffectScheduler가 사용하는 대기열 자료구조)"
src/HeadlessDCGO.Engine/Headless/Effects/EffectResult.cs,"AS-IS 무대응 순수 실행인프라이나 Skipped 상태는 MultipleSkills.cs:122-126의 CanResolve 실패 시 스킵-후-계속 의미를 그대로 부호화한 결과 DTO"
src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs,"AS-IS 무대응 순수 실행인프라: 범용 효과 큐 드레인 스케줄러; 바인딩된 리졸버(CardEffectSchedulerResolver)가 상시 Unbound라 실질 게임로직은 태우지 않음"
src/HeadlessDCGO.Engine/Headless/Effects/EventCollectionMetadata.cs,"AS-IS 무대응 순수 실행인프라: BattleResolver/DigivolutionStackHelpers/DigivolveAction 등에서 산발적으로 쓰이던 entityId 컬렉션→CSV 문자열 평탄화 컨벤션(winnerIds 등)을 재사용 가능한 단일 헬퍼로 코드화"
src/HeadlessDCGO.Engine/Headless/Effects/HeadlessCardEffectContract.cs,"혼재: IHeadlessCardEffect 스케줄러-리졸브 계약(CardEffectDefinition·CardEffectResolveContext·CardEffectCanResolveResult)은 생산자 0으로 폐기된 발명 인터페이스의 잔존 DTO; IEffectMutationSink/EffectMutation/RecordingEffectMutationSink는 MatchStateMutationSink가 구현하는 살아있는 순수 실행인프라(변이 커맨드 계약)"
src/HeadlessDCGO.Engine/Headless/Effects/MatchStateMutationSink.cs,"AS-IS 헤드리스 번역 디스패처: EffectMutation kind별로 AS-IS 미러 캐리어(DrawClass.Draw·IAddSecurityFromLibrary.AddSecurity·DestroyPermanentsClass.Destroy·CardEffectCommons.OnDeletionHashtable/PlayToken·Player.CanAddMemory·RestrictionHelpers 게이트)를 호출; DP모디파이어/플래그/토큰 생성 일부는 substrate 메타데이터 직접기록"
src/HeadlessDCGO.Engine/Headless/Effects/OptionalPromptQueue.cs,"사문화+재하우징 흔적: '여러 선택형 효과 중 하나 고르기' 발명 큐(EnqueuePrompt 호출부 0)로 전체 소스에서 미사용; 실제 AS-IS 옵셔널 발동은 1:1 미러 OptionalSkill.cs(ICardEffect.cs:1054/1105-1108 SelectOptional Yes/No 프롬프트)가 대체 수행 중"
src/HeadlessDCGO.Engine/Headless/Effects/PendingEffect.cs,"AS-IS 무대응 순수 실행인프라: EffectRequest+EffectResolutionMode를 묶는 큐 엔트리 DTO"
src/HeadlessDCGO.Engine/Headless/Effects/PlayCostHelpers.cs,"AS-IS 게임로직 재하우징: CardSource.cs:769/775/864(GetCostItself·GetChangedCostItselef·GetChangedPayingCost — IChangeCostEffect.GetCost IsUpDown/IsChangePayingCost/IsCheckAvailability 단계+Math.Max(0))의 플레이비용 폴드를 메타데이터기반 PlayCostModifier 리스트로 Headless/Effects에 이전"
