tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Effects/TriggerTimingMap.cs,other,"이벤트→타이밍 파생 로직 자체가 AS-IS 카드-이동/삭제 규칙(OnDeletion/OnLeaveField/OnAddToHand 등 분기)을 계산·판정함; 저장/배관이 아닌 규칙계산 실소스"
src/HeadlessDCGO.Engine/Headless/Effects/TriggerTimings.cs,other,"타이밍 상수 어휘 + BroadcastTimings 브로드캐스트 판정(IsBroadcast)이 카드별 cross-card 트리거 전파 규칙을 인코딩; TriggerTimingMap과 짝을 이루는 규칙 모듈"
src/HeadlessDCGO.Engine/Headless/Effects/WindowChoicePendingException.cs,Unity대체,"에이전트 선택 대기 시 콜스택 unwind 신호(예외) — AS-IS DeferredChoicePendingException의 코루틴 대체물; 규칙 계산 없음, 순수 일시정지 시그널"
src/HeadlessDCGO.Engine/Headless/Effects/WindowResolutionController.cs,Unity대체,"은퇴된 shell — HasPending 항상 false 반환, ResetMatchState만 존재; 옛 레지스트리-통화 창 루프의 잔해 상태홀더, 규칙계산 0"
src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowTrigger.cs,Unity대체,"트리거 큐 항목의 데이터 레코드(Request/Mode/Kind/Priority/Sequence/BatchId) + 인수 검증만 수행; 순수 상태홀더로 창-루프 스케줄링 저장소, 규칙 판정 로직 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/AceOverflowGate.cs,other,"ACE Overflow 게임 규칙(미플립 ACE 필드 이탈 시 메모리 손실량 계산·부호 결정)을 직접 계산·판정하는 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/ActionMask.cs,RL api,"합법 행동 집합을 정책/에이전트에 노출하는 액션마스크 컨테이너 — 원본에 없는 RL 에이전트 표면; 규칙계산 없이 LegalAction 리스트 저장·조회만"
src/HeadlessDCGO.Engine/Headless/Runtime/ActionProcessResult.cs,RL api,"단일 액션 처리 결과(Success/Failure/Illegal)를 표준화하는 env step() 결과 계약 — 원본에 없는 에이전트-대면 액션 파이프라인 산출물 타입; 규칙계산 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/AttackDeclarationCommons.cs,other,"공격 선언 시퀀스(서스펜드·카운터 스냅샷·OnAttack/OnAllyAttack 창 발화) 자체를 오케스트레이션하는 AS-IS 규칙 로직의 단일 chokepoint"
src/HeadlessDCGO.Engine/Headless/Runtime/AttackPermanentAction.cs,other,"공격 합법성 판정 전량(페이즈·서스펜드·CanSuspend·연속효과 제한·러시·타입판정 등) — 게임 규칙 계산·판정의 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/AttackPhase.cs,Unity대체,"단일 공격의 하위상태 열거형뿐 — AS-IS AttackProcess.ProcessNextState 코루틴 상태를 대체하는 순수 상태홀더, 규칙 계산 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/AttackPipeline.cs,Unity대체,"미러 ScriptAttackProcess로 전량 위임하는 delegation shim — 루프 1스텝 구동만 담당(코루틴 스테퍼 대체); 규칙 로직은 미러 레이어 소유"
src/HeadlessDCGO.Engine/Headless/Runtime/AttackTargetSwitchGate.cs,other,"ICanNotSwitchAttackTargetEffect 스캔으로 공격 타겟 전환 잠금 여부를 판정하는 규칙계산 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/BattleDeletionGate.cs,other,"전투 삭제 면역(CanBeDestroyed/CanBeDestroyedByBattle) 연속효과 스캔·판정 — 규칙계산 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/BattleResolver.cs,other,"DP비교·Iceclad·삭제면역·PRE cut-in창·Retaliation/Pierce 등 전투해결 규칙 전체를 계산·판정하는 대형 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/BlockTiming.cs,other,"블로커 후보 산출·Collision/CannotBlock 등 연속효과 판정·블록 선택 적용 시퀀스 — 규칙계산 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/CanNotPlayOptionScan.cs,other,"ICanNotPlayCardEffect 3영역(플레이어/필드/자기) 스캔으로 옵션 플레이 금지 여부를 판정하는 AS-IS CanNotPlayThisOption 규칙계산 실소스"
