relpath,verdict,deviations,notes
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotSuspend.cs,MATCH-TRANSLATED,,Impl 공유 추출·전 분기 보존
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/StartOfMainAttack.cs,MATCH-TRANSLATED,,RD-3A-01 STOP→풀 포트
Script/CardEffectFactory/KeyWordEffects/Barrier.cs,MATCH-TRANSLATED,,CardID→CardNumber=동일값 rename
Script/CardEffectCommons/KeyWordEffects/ArmorPurge.cs,MATCH-TRANSLATED,,+CanResolveArmorPurge 문서화 additive
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotUnsuspend.cs,MATCH-TRANSLATED,,substrate only
Script/DeckListPanel.cs,BLOCKED,,스텁 vs 순수 Unity UI(룰층 0)
Script/CardEffectFactory/KeyWordEffects/Fragment.cs,MATCH-TRANSLATED,,substrate only
Script/CardEffectFactory/KeyWordEffects/Pierce.cs,MATCH-TRANSLATED,,구 발명 Pierce.Create 대체 확인
Script/CardEffectFactory/KeyWordEffects/Evade.cs,MATCH-TRANSLATED,,substrate only
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotSuspend.cs,MATCH-TRANSLATED,,substrate only
Script/CardEffectCommons/KeyWordEffects/Iceclad.cs,MATCH-TRANSLATED,,substrate only
