tobe_path,비고1
src/HeadlessDCGO.Engine/Headless/Services/IStateFingerprintService.cs,"인터페이스 계약(BuildCanonicalSnapshot/ComputeFingerprint). MatchState를 정규 텍스트로 직렬화 후 해시하는 계약 선언. AS-IS엔 상태-지문/해시 개념이 없음(재현성 검증은 리플레이 로그로 처리) → 순수 substrate: RL 리플레이 검증·중복상태 탐지용 신규 인프라 계약."
src/HeadlessDCGO.Engine/Headless/Services/ITerminalOutcomeSink.cs,"승자/무승부/사유 payload 계약. 주석이 명시: PlayerRuleAdapter verdict를 담아 DcgoMatch가 공개 결과로 읽음(X-02). AS-IS는 Player.IsLose 필드(Player.cs:116)+게임루프 각처의 직접 판정만 있고 별도 outcome-sink 인터페이스는 없음 → 순수 substrate 계약(판정 로직 자체는 State/PlayerRuleAdapter.cs가 담당)."
src/HeadlessDCGO.Engine/Headless/Services/ITerminalStateController.cs,"SetTerminal(bool) 단일 메서드. 파일 내 TODO 주석: ‘실제 승자/패자 terminal 제어로 교체 예정’인 플레이스홀더. AS-IS 대응 없음 → 순수 substrate placeholder."
src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs,"존 이동 전체 API 계약(AddToHand/AddToTrash/TrashCard/AddToSecurity/Draw/AddSecurityFromLibrary/TrashSecurity/HatchDigitama/MoveBreedingToBattle/Shuffle/ShuffleSecurity/ShuffleHand). 각 메서드 주석이 AS-IS 대응을 명시: 트래시 top-insert(N-6, 원위치 CardObjectController.cs:729,770 TrashCards.Insert(0,...)); 시큐리티 top-insert(N-3, 원위치 CardObjectController.cs:976 AddSecurityCard(toTop:true)); ShuffleSecurityAsync(BT1_087, 원위치 BT1_087.cs:112 등 다수 카드효과의 SecurityCards=RandomUtility.ShuffledDeckCards); ShuffleHandAsync(BT13_033, 원위치 BT13_033.cs:215 HandCards=RandomUtility.ShuffledDeckCards); OnAddHand/OnDiscard*/OnAddSecurity 트리거 배선 규약. → AS-IS 존-조작 게임로직(Player.cs 개별 zone 필드 다수 + CardObjectController.cs + 개별 카드효과 파일 산재 로직)이 범용 인터페이스 계약으로 재하우징(원 위치=발명적 재하우징)."
src/HeadlessDCGO.Engine/Headless/Services/IZoneStateReader.cs,"TODO 플레이스홀더: ‘read-only access to final Player/Card zone state 대체 예정’. AS-IS 대응 없음 → 순수 substrate placeholder."
src/HeadlessDCGO.Engine/Headless/Services/IllegalAction.cs,"액션 거부 레코드(Id/PlayerId/ActionType/Reason/Metadata)+LegalAction으로부터의 FromLegalAction 팩토리. AS-IS는 UI가 항상 유효한 조작만 노출하며 ‘불법 액션’ 리포팅 개념이 없음 → 순수 substrate: headless API/RL 액션-검증 인프라."
src/HeadlessDCGO.Engine/Headless/Services/InMemoryCardInstanceRepository.cs,"ICardInstanceRepository의 Dictionary 기반 구현(Upsert/TryGetInstance/Snapshot/Clear/ResetMatchState). AS-IS는 CardSource MonoBehaviour 객체 자체가 곧 인스턴스 상태이며 별도 레포지토리가 없음 → 순수 substrate 저장소."
src/HeadlessDCGO.Engine/Headless/Services/InMemoryCardRepository.cs,"ICardRepository의 Dictionary 기반 구현(Upsert/Remove/TryGetCard/GetCard/Query/Snapshot/Clear, CardNumber/Id 정렬). 카드 정의 값 자체(CardRecord)를 AS-IS CardData로 매핑하는 로직은 이 파트 밖 파일(CardRecord.cs)의 몫이고, 이 파일은 순수 CRUD·정렬 저장소 로직만 담당 → 순수 substrate."
src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs,"ILogSink 구현(Info/Warn/Error를 순번이 매겨진 LogEntry 리스트로 누적, LogLevel enum). AS-IS는 Unity Debug.Log만 사용하고 로그 싱크 추상화가 없음 → 순수 substrate 로깅 인프라."
src/HeadlessDCGO.Engine/Headless/Services/InMemoryRuleQueryService.cs,"TODO 주석: ‘실제 DCGO 합법-액션/룰 체크로 교체 예정’. IRuleQueryService/ITerminalStateController/ITerminalOutcomeSink/IHeadlessMatchStateResettable/IHeadlessLegalActionController의 합성 구현체(legalActions 리스트 CRUD + terminal state/outcome 저장). ‘합법 액션 목록’ 자체가 AS-IS엔 없는 개념(UI가 가능한 선택지만 렌더) → 순수 substrate: headless 액션-후보/terminal-state 저장 인프라(단, SetTerminal/SetTerminalOutcome이 담는 판정값의 원천 로직은 State/PlayerRuleAdapter.cs)."
