asis_path,비고1
DCGO/Assets/Scripts/Script/BGMObject.cs,"순수 Unity 오디오: AudioSource BGM 재생/정지+DOTween 페이드아웃(전문 확인), 게임규칙 상태변이 0 → 미러 불요"
DCGO/Assets/Scripts/Script/BattleMode.cs,"순수 UI 화면전환: 로비/룸/배틀모드 UI 매니저 Off·SetUp 호출만(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/BendText.cs,"순수 렌더링/에디터: TextMeshPro 메시 곡면변형+OnDrawGizmos(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/BrainStormObject.cs,"순수 뷰: HandCard GameObject 표시(SetActive/회전/이미지)만이고 브레인스톰 규칙로직은 엔진 src/.../Script/AutoProcessing.cs·CardController.cs에 존재(grep 확인) → 이 파일은 미러 불요"
DCGO/Assets/Scripts/Script/BreakGlass.cs,"순수 VFX/물리: Rigidbody 폭발 유리깨짐 연출+SE(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/BurstEffectObject.cs,"순수 VFX: EvolutionEffectObject(MonoBehaviour) 상속한 진화 컷인 애니메이션·텍스트·머티리얼·SE(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CPlayerElement.cs,"순수 UI 표시: 룸 플레이어정보 Text(이름/Ready)+로컬라이즈(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CRoomElement.cs,"순수 UI+네트워킹: 룸 리스트 항목 Text 표시, Photon.Pun/Realtime using(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CardDetail.cs,"순수 UI: 카드 확대 상세보기 표시+DOTween 애니메이션(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CardDistribution.cs,"덱빌더 UI: 종별/레벨별 분포 탭에 표시 술어(CardKind/Level) 설정만이고 데이터모델 CardDistributionTab.cs·DeckData.cs는 엔진 src에 존재(grep 확인), 게임플레이 상태변이 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CardImagePanel.cs,"에셋/UI 유틸: StreamingAssets에 카드이미지 존재여부 점검 패널(OffAnimation=MonoBehaviour)(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CheckUpdate.cs,"네트워킹/업데이트 UI: 구글스프레드시트 리더로 버전비교+DL URL 안내(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CircleFill.cs,"순수 UI VFX: Image.fillAmount 타이머 채움 애니메이션(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/ColorDropdownController.cs,"덱빌더 UI: 색상 드롭다운 캡션/아이템 라벨 색칠(CardColor 표시용)(전문 확인), 게임규칙 상태변이 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CommandButton.cs,"순수 UI 입력: IPointerClickHandler 클릭 SE+UnityAction 호출(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CommandPanel.cs,"순수 UI: 카드 커맨드 버튼패널 배치/표시(CardCommand=UI 커맨드 기술자)(전문 확인), 게임규칙 판정 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CommandText.cs,"순수 UI: 커맨드 메시지 텍스트 표시+Animator(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CreateRoom.cs,"UI/네트워킹 셋업: 룸생성 패널+isAI/isRandomMatch 플래그 세팅·roomManager 호출(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/CutInGif.cs,"순수 VFX: 스프라이트 프레임 gif 애니메이션(Image)(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/DeckInfoPrefab.cs,"덱빌더 UI: 덱 리스트 항목 표시(키카드 이미지/색 아이콘/이름)(전문 확인), 게임플레이 상태변이 0 → 미러 불요"
DCGO/Assets/Scripts/Script/DeckMode.cs,"순수 UI 화면전환: 덱모드 UI Off/SetUp 호출만(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/Draggable.cs,"순수 UI 입력: 드래그 베이스(마우스→로컬좌표, DropArea 레이캐스트)(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/Draggable_Card.cs,"순수 UI 입력: 덱빌더 카드 드래그 핸들러(Draggable 상속)(전문 확인), 게임규칙 0 → 미러 불요"
