tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessLegalActionDispatcher.cs,RL api,"합법행동 열거표(GetLegalActions): 대기 choice 우선순위·메인페이즈 액션 조립. G3.5-RL-A2 명시, 에이전트 표면 자체가 본질"
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessMemoryState.cs,Unity대체,메모리 게이지 Current/Minimum/Maximum 순수 상태 레코드. 계산·판정 없음
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessPhase.cs,Unity대체,AS-IS GameContext.phase 6값과 값·순서 1:1인 순수 열거형
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessPhaseMapping.cs,Unity대체,phase 별칭↔enum 매핑표·턴스텝 순서 워크. 카드별 규칙판정 없는 엔진 흐름 배관(다음 phase/cursor 결정은 구조적 시퀀싱이지 카드 규칙 연산이 아님)
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessTurnState.cs,Unity대체,턴/페이즈 상태 레코드 + 페이즈 멤버십 bool 프로퍼티. 순수 상태홀더
src/HeadlessDCGO.Engine/Headless/Runtime/IActionLegality.cs,RL api,"에이전트 행동 적법성 경계 인터페이스(G3.5-RL-A1). 생성/수락 공유 술어, RL 표면 그 자체"
src/HeadlessDCGO.Engine/Headless/Runtime/IActionProcessor.cs,RL api,액션→상태전이 step 처리 인터페이스(RL 행동 처리 표면)
src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessAttackController.cs,Unity대체,AS-IS attackProcess 대체 순수 상태 컨트롤러 인터페이스(공격 선언/블로커/리타겟 등 상태 전이만)
src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessChoiceController.cs,RL api,"선택지 요청/해소/부분선택 토글의 에이전트 행동 표면 인터페이스. G3.5-RL-A2·B5-1/B5-2 RL 설계 문서 직접 인용"
src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessMemoryController.cs,Unity대체,메모리 게이지 순수 상태 조작 인터페이스(Set/Add/CanPay/Pay). 카드 비용 판정 로직 없음
src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessPlayerStatusController.cs,Unity대체,"주석에 명시된 Unity Player.IsLose 대체 순수 상태 컨트롤러(패배 플래그 저장만)"
src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessTurnController.cs,Unity대체,AS-IS TurnStateMachine 대체 순수 턴상태 컨트롤러 인터페이스
src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs,Unity대체,공격 상태 순수 전이 구현체. 필드 대입만 수행하고 카드별 규칙판정은 없음(위임)
src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs,RL api,"선택 세션 상태 구현(RequestChoice/ResolveChoice/ToggleCandidate). B5-1 설계상 RL 에이전트의 부분선택 행동 표면으로 명시"
src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs,Unity대체,메모리 게이지 clamp-only 순수 상태 구현체(TODO: 실 비용 로직은 별도 이식 예정)
src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessPlayerStatusController.cs,Unity대체,패배 플래그 Dictionary 순수 상태 구현(Unity Player.IsLose 대체)
src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs,Unity대체,"턴/페이즈 전이 순수 구현. 실제 순서 판단은 HeadlessPhaseMapping에 위임, 카드 규칙 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/LegalActionSetValidator.cs,RL api,"에이전트 행동공간 적법성 검증기(G3.5-RL-A1). 생성-수락 동일 술어 보장이 RL 계약의 핵심"
src/HeadlessDCGO.Engine/Headless/Runtime/LinkHelpers.cs,other,"AS-IS Permanent.AddLinkCard/RemoveLinkedCard 1:1 규칙 로직 실전 실행(링크 부착·한도초과 오너선택 트림·WhenLinked/OnLinkCardDiscarded 트리거 발화·연속수정자 fold). Runtime에 오배치된 카드규칙 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/MainSkillActivateAction.cs,RL api,"[Main] 스킬 선언 에이전트 액션(GetLegalActions/ProcessAsync/Validate). 실제 사용가능 판정·효과 해석은 ActivatedEffectResolver에 위임하는 얇은 액션 계층"
src/HeadlessDCGO.Engine/Headless/Runtime/MatchConfig.cs,RL api,"매치 파사드 설정 레코드(RandomSeed·UseDeterministicChoices 등 결정론/재현 infra), 범위검증만 수행"
src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs,RL api,매치 종료 결과(승자/무승부/기권/사유) 파사드 레코드. 에피소드 종료 표면
src/HeadlessDCGO.Engine/Headless/Runtime/MatchSetupFlow.cs,other,"AS-IS CardObjectController.CreatePlayerDecks 셔플·초기 핸드/시큐리티 딜(5장 등 규칙수치)·멀리건 개시 절차를 실제로 실행. 게임 초기화 규칙 실소스가 Runtime에 오배치"
src/HeadlessDCGO.Engine/Headless/Runtime/MetadataActionProcessor.cs,RL api,"액션타입→엔진호출 매핑 step 디스패처. 실제 규칙연산(BlockTiming/OverclockEffect/RevealAndSelect/DeletionReplacementTiming/EffectDrivenAttack 등)은 미러 클래스에 위임하는 라우팅 계층"
src/HeadlessDCGO.Engine/Headless/Runtime/MulliganCoordinator.cs,other,"AS-IS TurnStateMachine 멀리건 절차(플레이어별 keep/redraw 순서·재드로우·전원 결정 후 시큐리티 지연 딜)를 실제로 실행하는 규칙 로직"
src/HeadlessDCGO.Engine/Headless/Runtime/NoOpActionProcessor.cs,RL api,"미포팅 액션용 no-op step 처리기, IActionProcessor RL 표면의 자리표시 구현"
src/HeadlessDCGO.Engine/Headless/Runtime/ObservationSnapshot.cs,RL api,"RL 관측 스냅샷 레코드(G3.5-RL-A4b 카드별 타입 피처 포함). 관측 표면 그 자체"
src/HeadlessDCGO.Engine/Headless/Runtime/OptionActivateAction.cs,RL api,"Option 카드 발동 에이전트 액션(GetLegalActions/ProcessAsync/Validate). 비용·색상요구·CanNotPlay 판정은 CardSource/OptionColorRequirement/CanNotPlayOptionScan에 위임하는 얇은 액션 계층"
