tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/RevealLibrary.cs,non,2,"Mode-based card routing (AddHand/Discard/PlayForFree/PlayForCost) is reimplemented directly in TO-BE via StageRevealMovesAsync/PlayPermanentCards, whereas AS-IS RevealDeckTopCardsAndSelect only sets up SelectCardEffect and calls Activate() (a separate file) which performs the actual mode routing internally — cannot verify 1:1 from this file pair alone (logic delegated to unseen SelectCardEffect.cs); the incremental select loop's inability to un-pick an already-chosen card to satisfy canEndSelectCondition is an acknowledged gap (design item RD-W3-1, header comment)."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/DNADigivolveEffects.cs,non,3,"DNADigivolvePermanentsIntoHandOrTrashCard's real body (AS-IS :458-624, SetJogressEvoRootsController/PunRPC/WaitUntil flow) is NOT present in this TO-BE file — it is a thin AS-IS-signature wrapper forwarding to a 'substrate overload' in another file; cannot verify 1:1 from this pair. DNADigivolveWithHandOrTrashCardIntoHandOrTrash substitutes AS-IS's actual FieldPermanents slot write (PlayTempPermanent, with real null-back) for a read-only TempMaterialView snapshot (no slot write) — a documented non-trivial mechanism substitution (RD-S3-BT17_095), not a simple substrate translation. successProcess/failedProcess parameter types changed from AS-IS raw IEnumerator to TO-BE Func<Task> (delegate-shape change, even though unused by the body)."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectBurstDigivolutionEffect.cs,non,1,"BounceTamer: the AS-IS HandBounceClaass bounce process's PRE cut-in windows (WhenReturntoHandAnyone/WhenRemoveField, CardController.cs:2644-2660) are explicitly acknowledged in the header comment as NOT implemented by the mirror's sink-based ReturnToHand mapping (tracked separately as design item R2-P2-2) — a real, documented behavioural gap."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CEntity_Base.cs,non,20,"TO-BE ports only the CardColor enum (per its own header comment: 'only the members ported effect code needs so far are mirrored here'). The entire AS-IS CEntity_Base ScriptableObject class is absent: CardIndex, cardColors, PlayCost, EvoCosts, Level, CardName_JPN/ENG, Form_JPN/ENG, Attribute_JPN/ENG, Type_JPN/ENG, CardSpriteName, cardKind, 6 effect-description fields, CardEffectClassName, DP, rarity, OverflowMemory, LinkDP/LinkEffect/LinkRequirement, dualEffect, OptionCardColorRequirements/OptionEffect, HasInhetitedEffect/HasSecutiryEffect, CardID, MaxCountInDeck, HasLoadStarted/CardSprite/LoadCardImage/GetCardSprite, IsACE/IsStandardValid/IsDualCard, RegulationMark (40-case switch), SetID, IsPermanent, CardIndex_String, GetParseByUnderBar/GetParseByHyphen, SameCardIDCount, isParallel, HasLevel, HasCost/HasPlayCost/HasUseCost — plus the CardKind enum, EvoCost class, and Rarity enum — are all missing."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeLinkMax.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/AddDigivolutionRequirement.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenDeleteOpponentDigimonByBattle.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Pierce.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; CreateBuffEffect UI 시각효과만 드롭)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Evade.cs,non,1,"EvadeEffect's SetHashString uses $""Evade_{card.CardNumber}"" in TO-BE versus $""Evade_{card.CardID}"" in AS-IS — an undocumented field substitution (CardID vs CardNumber), not one of the allowed substrate translations."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardInfo.cs,non,20,"TO-BE is a bare TODO skeleton stub (comment only, 0 members). AS-IS is a full MonoBehaviour with BackGrounds/BackGround/LinkBackground/CardImage/InheritedEffectText+fonts+material/outlineImage/HatenaCard/scrollRects fields, OnEnterAction/OnExitAction/detailPermanent/cardSource, OnEnter()/OnExit()/SetUpCardInfo()/CloseSoulInfo()/OnClick() methods, and the IndexStrings list — none ported."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNoReturnToDeck.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; CreateBuffEffect UI 시각효과만 드롭)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ImmuneFromDPMinus.cs,1to1,0,대조 심볼 N개 전부 일치(substrate 번역만; CreateBuffEffect UI 시각효과만 드롭)
src/HeadlessDCGO.Engine/Assets/Scripts/Script/GameRandom.cs,non,8,"TO-BE is a bare TODO skeleton stub (comment only, 0 members). AS-IS is a fully-implemented deterministic Xoshiro256**/SplitMix64 PRNG with Seed(long), Range(int,int), Range(float,float), Probability(float), NextState(), NextUInt32(), RotateLeft(ulong,int), SplitMix64(ref ulong) — none ported."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/Cost/IsMaxCost.cs,non,3,"IsMaxCost substitutes the owner-scoped AS-IS predicate IsPermanentExistsOnOwnerBattleArea(permanent, permanent.TopCard) with the generic IsPermanentExistsOnBattleArea(permanent) — a different helper. AS-IS's two separate branches (IsDigimonOnly: GetBattleAreaDigimons; else: GetBattleAreaPermanents filtered by IsDigimon||IsTamer) are merged into one unified ternary-filtered query in TO-BE — a structural rewrite, not a straight port. GetNonMaxCostPermanents gains an extra 'CardSource card' parameter not present in the AS-IS signature (Player owner, bool digimonOnly = true)."
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SpellRestoration.cs,non,3,"TO-BE is a bare TODO skeleton stub (comment only, 0 members). AS-IS has the convertTable field plus ToSpellRestoration(object) and FromSpellRestoration<T>(string) methods — none ported."
