relpath,verdict,mirror_anchor,evidence,note
DCGO/Assets/Scripts/Script/ProfanityFilter/Interfaces/IAllowList.cs,UI-OUT-OF-SCOPE,,"Third-party (MIT 2019) chat/text moderation interface: Add/Contains/Remove/Clear/Count. No game rule.",Profanity library used only for deck-name censoring (DeckData.cs:830-831); not card-game rules.
DCGO/Assets/Scripts/Script/ProfanityFilter/Interfaces/IProfanityFilter.cs,UI-OUT-OF-SCOPE,,"Third-party (MIT 2019) profanity-filter interface (IsProfanity/CensorString/Detect). No game rule.",Social/text-moderation lib; sole caller is deck-name display.
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityBase.cs,UI-OUT-OF-SCOPE,,"Third-party word-list container: Add/Remove/Clear/Count over _profanities. Text data mgmt only.",No game state; chat/name moderation.
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityFilter.cs,UI-OUT-OF-SCOPE,,"Third-party string-censoring engine (regex/allow-list). Operates on arbitrary text, no card/deck/turn state.",Used at DeckData.cs CensorString(deckName); cosmetic only.
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityList.cs,UI-OUT-OF-SCOPE,,"Static _wordList[] string data (offensive-term dictionary). Pure data.",Data for the moderation lib; not game rules.
DCGO/Assets/Scripts/Script/RectTransformExtension.cs,UI-OUT-OF-SCOPE,,"RectTransform screen-visibility helpers (CountCornersVisibleFrom/IsVisibleFrom) using Screen/Camera.",Pure UI geometry util.
DCGO/Assets/Scripts/Script/ResizeWindow.cs,UI-OUT-OF-SCOPE,,"Window resolution/fullscreen settings panel (Screen.SetResolution, anim open/close).",Display settings only.
DCGO/Assets/Scripts/Script/ResultObject.cs,UI-OUT-OF-SCOPE,,"Win/Lose/Draw/Disconnect result SCREEN. Reads winner (already decided upstream), sets images/text, plays SE, increments local WinCount stat. No win-condition evaluation.",Winner passed in via ShowResult(Player Winner,...); judgment happens in engine, not here.
DCGO/Assets/Scripts/Script/RoomManager.cs,UI-OUT-OF-SCOPE,src/HeadlessDCGO.Engine/Headless/Runtime/MatchSetupFlow.cs,"Photon lobby/matchmaking: create/join room, ready toggles, player-count monitor, scene load. FirstPlayerIndexID is a host toggle stored as a room custom-property (0=master/-1=random/1=non-master); the actual first-player game-rule resolution is NOT here (random case leaves firstPlayerId=-1).",Networking substrate; match-setup rule (first player, deck shuffle) already lives in engine MatchSetupFlow. Deck-validity via DeckData.IsValidDeckData (external).
DCGO/Assets/Scripts/Script/SecurityBreakGlass.cs,UI-OUT-OF-SCOPE,,"Glass-shatter 3D VFX for security attack (rigidbodies, materials, explode velocity). Pure visual.",No security-stack rule; presentation only.
DCGO/Assets/Scripts/Script/SecurityObject.cs,UI-OUT-OF-SCOPE,,"Security-stack DISPLAY: renders count/life-card images, face-up icon (reads player.SecurityCards), click target, attack-vs-direct label. Read-only view.",Reacts to GManager.OnSecurityStackChanged; no stack mutation/checks-of-rule.
DCGO/Assets/Scripts/Script/SelectBattleDeck.cs,UI-OUT-OF-SCOPE,,"Deck-selection panel: lists DeckDatas, enables Select button via DeckData.IsValidDeckData() (validation logic external), sets BattleDeckData, triggers lobby. No rule eval in-file.",Re-verified per special-attention list: rule logic 0 (validity check delegates to DeckData).
