tobe_path,비고1
src/HeadlessDCGO.Engine/Headless/Runtime/OptionColorRequirement.cs,"(가) AS-IS 헤드리스 번역/위임. DEF-S9(2026-07-24)로 자체 로직을 전삭하고 미러 CardSource.MatchColorRequirement(Script/CardSource.cs:313-343 = AS-IS DCGO CardSource.cs:255-321)에 위임하는 단일 소스 래퍼. Option 카드의 색 요구조건(EVERY 컬러가 필드 퍼머넌트에 존재) 게이트."
src/HeadlessDCGO.Engine/Headless/Runtime/OverclockEffect.cs,"(가) AS-IS 번역(선택-컨트롤러 배선). C-16 Overclock 키워드: AS-IS CardEffectCommons.OverclockProcess/CanActivateOverclock을 미러링. R2-A로 실제 판정 로직은 정본 위치 src/.../Script/CardEffectCommons/KeyWordEffects/Overclock.cs로 재하우징 완료; 본 파일은 LIVE 선택-컨트롤러 배선(트레이트/토큰 동맹 선택→DeletionReplacementGate.SacrificeAsync→EffectDrivenAttack)만 잔존(R3 몫)."
src/HeadlessDCGO.Engine/Headless/Runtime/PlayCardAction.cs,"(가) AS-IS 헤드리스 번역. AS-IS CardController 핸드-플레이 흐름 1:1(BeforePayCost/AfterPayCost 윈도우, GetPayingCostWithBaseCost 코스트 파이프라인, CardController.cs:753-761 Assembly 폴드, :1386 EnterFieldTurnCount, :1630-1691 On-Play/OnEnterFieldAnyone 순서, CardSource.CanEnterField 필드-배치 게이트). PlayCard 액션의 정본 실행 지점."
src/HeadlessDCGO.Engine/Headless/Runtime/PlayerTurnCounterController.cs,"(가/일반화) AS-IS 턴-스코프 Player 필드(예: Player.DigivolveCount_ThisTurn, TurnStateMachine.cs:3181 턴시작 리셋)를 단일 AS-IS 심볼이 아닌 범용 (player,key)->int 카운터 서비스로 일반화한 헤드리스 인프라. 새 턴당-카운터 추가시 서비스 신설 대신 키만 추가하도록 설계된 substrate."
src/HeadlessDCGO.Engine/Headless/Runtime/ProgressImmunity.cs,"(가) AS-IS 헤드리스 번역. C-15 Progress 키워드: AS-IS KeyWordEffects/Progress.cs:62-108 ProgressProcess를 1:1 미러(공격 선언시 자동, UntilEndAttack 버킷에 CanNotAffectedClass append, CardCondition/SkillCondition=IsOpponentEffect). 미러 클래스(Permanent/CardSource/CanNotAffectedClass)를 직접 생성해 사용 — 중복 재구현 아님."
src/HeadlessDCGO.Engine/Headless/Runtime/RevealAndSelect.cs,"(가) AS-IS 헤드리스 번역. B-7/B4/P4: AS-IS RevealLibrary.RevealDeckTopCardsAndSelect / RevealDeckTopCardsAndProcessForAll / SelectCardConditionClass[] 다중-패스 / ReturnRevealedCardsToLibraryTop/Bottom/TopOrBottom을 1:1 이식(선택조건 게이트, 잔여카드 순서 선택, mutualConditions 규칙 포함)."
src/HeadlessDCGO.Engine/Headless/Runtime/SecurityFaceState.cs,"(가) AS-IS 헤드리스 번역. AS-IS CardSource.IsFlipped/IsFaceUp(CardSource.cs:56-70) + AddSecurityCard의 SetReverse()/SetFace() 대응. 존 무버가 존 멤버십만 추적하고 표면상태를 인스턴스에 저장하지 않던 공백을 메우는 영속 플래그(securityFaceUp) 스탬프/조회 헬퍼."
src/HeadlessDCGO.Engine/Headless/Runtime/SecurityResolver.cs,"(가) AS-IS 헤드리스 번역(대용량, 1113줄). AS-IS ISecurityCheck / StopSecurityCheck(CardController.cs:3893-3908) / 시큐리티체크 루프(:3935-4217, Strike 재평가·[Security] 활성효과·OnSecurityCheck 윈도우·시큐리티-디지몬 배틀·DontBattleSecurityDigimonClass) 1:1 이식. 라인 인용 다수(DEF-S1/S2, C-5, RD-R6-02 등)."
src/HeadlessDCGO.Engine/Headless/Runtime/SessionContext.cs,"(나) 순수 substrate. AS-IS 심볼 인용 0건. 세션 id/플레이어 목록/로컬-턴 플레이어/턴번호/지문(Fingerprint)을 관리하는 헤드리스 전용 관전-시점 부기 레코드. AS-IS의 세션/룸 개념은 Photon 네트워킹 계층(RoomManager.cs, LobbyManager_FriendMatch.cs)이 담당하며 이 레코드로 미러되지 않음 — 헤드리스 오케스트레이션(로컬/원격 플레이어 시점, RL 관측자 구분)을 위해 신설된 배관."
src/HeadlessDCGO.Engine/Headless/Runtime/SpecialPlayAction.cs,"(가) AS-IS 헤드리스 번역. G6-004/G8-006: DigiXros/DNA Digivolution/Blast/App Fusion/Burst Digivolution 특수 플레이를 AS-IS 소스 1:1 인용으로 이식(CanBurstDigivolutionFromTargetPermanent/BurstDigivolutionCondition, AddMaxTrashCountDigiXrosClass, maxTamerDigivolutionCardsCount, CardController.cs:1509-1538 튜닝-리셋, CardSource.CanEnterField 필드배치 게이트, CardSource.cs:2755 순열 매칭)."
src/HeadlessDCGO.Engine/Headless/Runtime/StepResult.cs,"(나) 순수 substrate. AS-IS 대응 없음. 강화학습/에이전트용 gym류 step() API 결과 레코드(IsTerminal/HasPendingChoice/Events/Observation/ActionMask/FlowExceededIterationCap) — AS-IS Unity 클라이언트에는 이런 스텝 개념 자체가 없음."
src/HeadlessDCGO.Engine/Headless/Runtime/TerminalEvaluator.cs,"(가) AS-IS 헤드리스 번역. AS-IS AutoProcessing의 승패 판정 집약(Player.IsLose 스캔)을 PlayerRuleAdapter 경유로 브릿지. mig-goal2(AutoProcessing 완료) 계보의 정본 실행 지점."
src/HeadlessDCGO.Engine/Headless/Runtime/TurnFlowDriver.cs,"(가) AS-IS 헤드리스 번역(어댑터). 헤드리스 LegalAction을 AS-IS 미러 액션 오브젝트(Cec.PlayCardAction/AttackPermanentAction/PassAction)로 변환해 미러 TurnStateMachine(MainPhaseAsync:971-1170)의 셀렉션 대기 큐에 직접 투입 — AS-IS 네트워크/UI 트랜스포트 자리(패킷 인덱스 좌표계)를 그대로 재현하는 번역 레이어. R4 S3b 설계서(r4_tsm_s1_design_2026-07-16.md) 근거."
src/HeadlessDCGO.Engine/Headless/Runtime/TurnFlowPump.cs,"(나) 순수 substrate 실행인프라. Unity 코루틴의 yield return WaitUntil을 async/await 게이트(TurnFlowGate)로 재현하는 펌프 스케줄러 — AS-IS TurnStateMachine 코루틴 캐이던스를 '그대로' 구동시키기 위한 배관(재진입 없는 1:1 바디 실행 모델)이며 특정 AS-IS 게임로직 심볼의 번역은 아님. R4 S3a 설계서 근거."
src/HeadlessDCGO.Engine/Headless/Runtime/TurnStepCursor.cs,"(나) 순수 substrate. 파일 자체 주석이 명시: '이것은 게임 페이즈가 아니다(This is NOT a game phase)' — 구 9-값 HeadlessPhase(발명물)를 (AS-IS 6-값 HeadlessPhase, TurnStepCursor) 쌍으로 무손실 재표현하는 substrate 서브커서 어휘. R4 S2 decision 2=A 근거."
