relpath,verdict,deviations,notes
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeBlocked.cs,MATCH-TRANSLATED,,"IEnumerator->async Task; CreateBuffEffect UI dropped; invented grant-time immunity guard removed (RD-J-01) restoring AS-IS unconditional grant; guards/conditions/factory call 1:1"
Script/CardInfo.cs,BLOCKED,"7-line skeleton stub (TODO: Skeleton only), full AS-IS 162-line body absent","AS-IS is pure Unity UI MonoBehaviour (Image/TextMeshPro/sprite/color, SetUpCardInfo/OnClick) with no game-rule logic; stub benign but unimplemented"
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotAttack.cs,MATCH-TRANSLATED,,"IEnumerator->async Task; per-permanent CreateDebuffEffect UI loop dropped; AttackerCondition/DefenderCondition/Condition + CanNotAttackStaticEffect + AddEffectToPlayer 1:1"
Script/CardEffectFactory/KeyWordEffects/Fortitude.cs,MATCH-TRANSLATED,,"PermanentOfThisCard()->ResolvePermanentOfThisCard; new Permanent ctor substrate; IEnumerator->Task; hashstring card.CardID->card.CardNumber (equivalent catalog id); body 1:1"
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotBlock.cs,MATCH-TRANSLATED,,"IEnumerator->async Task; CreateDebuffEffect UI loop dropped; AttackerCondition folds area+CanNotBeAffected+caller filter, DefenderCondition wrap, CanUseCondition=true 1:1"
Script/CardEffectFactory/ChangeCardDP.cs,MATCH-TRANSLATED,,"generic int/Func<int> dispatch + ChangeDP/CardCondition/isUpDown 1:1; substrate: SecurityDigimon==cardSource -> ==cardSource.InstanceId; UnityEngine stripped"
Script/CardEffectCommons/CanUseEffects/WhenLinked.cs,MATCH-TRANSLATED,,"body character-for-character identical (CanTriggerWhenLinking + CanTriggerWhenLinked); only namespace added and using UnityEngine dropped"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/TamerBecomesDigimonThatCanNotDigivolve.cs,MATCH-TRANSLATED,,"three timed grants (TreatAsDigimon/ChangeBaseDP/CanNotDigivolve)+guards 1:1; IEnumerator->async Task; CreateBuffEffect dropped; SetActivatedTime(DateTime.Now) dropped (Unity presentation-ordering, no headless substrate)"
Script/CardEffectFactory/KeyWordEffects/Blocker.cs,MATCH-TRANSLATED,,"BlockerSelfStaticEffect/BlockerStaticEffect 1:1; PermanentOfThisCard()->ResolvePermanentOfThisCard; sync (no coroutine); UnityEngine stripped"
Script/CardEffectFactory/KeyWordEffects/Retaliation.cs,MATCH-TRANSLATED,,"RetaliationSelfEffect/RetaliationEffect 1:1 incl CanTriggerOnPermanentDeleted lambda + SetIsLinkedEffect; PermanentOfThisCard bridge; IEnumerator delegation->non-async Task; UnityEngine/Pool stripped"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBlock.cs,MATCH-TRANSLATED,,"AttackerCondition(caller wrap)/DefenderCondition(defender==target)/CanUseCondition 1:1; IEnumerator->async Task; CreateDebuffEffect dropped; RD-J-01 invented guard removed"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByEffect.cs,MATCH-TRANSLATED,,"CanNotBeDestroyedBySkillStaticEffect with real Func<ICardEffect,bool> cardEffectCondition threaded verbatim (RD-W2-1 down-adapter deleted); PermanentCondition/CanUseCondition 1:1; async Task; CreateBuffEffect dropped"
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangeSAttack.cs,DEVIATION,"InvertDigimonSAttackPlayerEffect (AS-IS :73-131) region NOT ported — engine-wide grep confirms no commons wrapper exists (only factory InvertSAttackStaticEffect); TO-BE self-admits 'left for a later batch'","Only ChangeDigimonSAttackPlayerEffect ported (AS-IS-signature bridge overload -> CardEffectCommons.cs:3058, 1:1); second AS-IS region is a genuine GAP"
Script/ConvertBinaryNumber.cs,BLOCKED,"7-line skeleton stub (TODO: Skeleton only), full AS-IS 145-line body absent","Deterministic non-UI base-conversion logic NStringToNKString/NKStringToNString/IntToNString/NStringToInt + 260-glyph digit table NOT ported; real logic gap"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByBattle.cs,MATCH-TRANSLATED,,"rehoused from monolith; 4-arg battle predicate + PermanentCondition + CanUseCondition + CanNotBeDestroyedByBattleStaticEffect 1:1; area guard via IZoneStateReader; sync (UI coroutine dropped); RD-J-01 misread grant-guard removed"
Script/CardEffectFactory/KeyWordEffects/MaterialSave.cs,MATCH-TRANSLATED,,"substrate only (IEnumerator->Task pure-delegation; card.CardID->card.CardNumber rename); factory partial 심볼/분기/조건 전부 동일"
Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNoReturnToDeck.cs,MATCH-TRANSLATED,,"substrate only (IEnumerator->async Task; PermanentCondition/CanUseCondition/AddEffectToPlayer 1:1; CreateBuffEffect UI loop dropped); AS-IS-signature overload + Impl split = rehousing (logic identical)"
Script/CardEffects/ChangeLinkMaxClass.cs,MATCH-TRANSLATED,,"substrate only (Mathf.Abs->Math.Abs); GetLinkMax invert 분기·isUpDown·PermanentCondition 완전 동일"
Script/CardEffects/ChangeSAttackClass.cs,MATCH-TRANSLATED,,"substrate only (Mathf.Abs->Math.Abs); GetSAttack invert 분기·isUpDown·PermanentCondition 완전 동일"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNoReturnToDeck.cs,MATCH-TRANSLATED,,"substrate only (IEnumerator->Task; CreateBuffEffect UI dropped); PermanentCondition=target·CanUseCondition·AddEffectToPermanent 1:1; RD-J-01 removed invented grant-time guard = AS-IS restore"
Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotReturnToHand.cs,MATCH-TRANSLATED,,"substrate only (IEnumerator->Task; CreateBuffEffect UI dropped); CannotReturnToHandStaticEffect 배선·가드 1:1"
